Player,Left Team,Joined Team
Stephen Dobbie,Swansea,Brighton
Sergio Leal,Deportivo Cali,Danubio FC
Javier Umbides,Aris Saloniki,Orduspor
Sergio Herrera,Táchira,Quindío
Paulo Jorge,Al-Ittihad,Gil Vicente
Iain Hume,Preston,Doncaster
Hyung-min Shin,Pohang Steelers,Al-Jazira
Chul Hong,Seongnam FC,Suwon Bluewings
Sang-wun Han,Júbilo Iwata,Ulsan Hyundai
Geoffrey Dernis,Montpellier,Stade Brestois
Christian Eigler,1.FC Nuremberg,FC Ingolstadt
Dong-chan Kim,Jeonbuk Hyundai,Sangju Sangmu
Khalifa Sankaré,Aris Saloniki,Asteras Tripoli
Simon Zenke,AS Nancy,Istanbul BBSK
William,Olaria,Portimonense
Pavol Sedlak,Rimavska Sobota,SC Neusiedl/See
Sergio Leal,Ergotelis,Deportivo Cali
Gibril Sankoh,FC Augsburg,HN Jianye
Timur Kapadze,Sharjah FC,Aktobe
Pa-Modou Kah,Al-Khor SC,Al-Wehda
Jaime Ayoví,Pachuca,Al-Nassr
Viktor Klonaridis,LOSC Lille,Mouscron
Jamie Vardy,Fleetwood,Leicester
Joshua King,Man Utd U21,Blackburn
Chris Wood,West Brom,Leicester
Junior Tallo,Chievo Verona,AS Roma
Stefano Russo,Parma,Brescia
Chinedu Ede,Union Berlin,1.FSV Mainz 05
Ante Puljic,NK Lokomotiva,Dinamo Zagreb
Filip Malbasic,Rad,TSG Hoffenheim
William Mendieta,Libertad,Palmeiras
Ramón Fernández,O'Higgins,U. de Chile
Davide Gavazzi,Vicenza,Sampdoria
Elvis Abbruscato,Vicenza,Pescara
Ezechiel Ndouasel,Club Africain,Terek Grozny
André Geraldes,Rio Ave,Istanbul BBSK
Carlinhos,São Paulo,Omiya Ardija
Teng Yi,SZ Ruby,GZ Evergrande
Zhuoyi Feng,CD Blades,GZ R&F
Nosa Igiebor,Hapoel Tel Aviv,Real Betis
Ivan Trickovski,APOEL Nicosia,Club Brugge
David Lafata,FK Jablonec,Sparta Prague
Jukka Raitala,TSG Hoffenheim,Heerenveen
Sergio Araujo,Boca Juniors,Barcelona B
Santos,Jeju United,WH Zall
Mário Felgueiras,SC Braga,CFR Cluj
Marcel Sabitzer,Admira Wacker,Rapid Vienna
Pablo Cáceres,Rangers Talca,Torino
Grzegorz Sandomierski,KRC Genk,Blackburn
Enis Nadarevic,Varese,Genoa
Jan Rezek,Viktoria Plzen,Anorthosis
Victor Astafei,FCM Targu Mures,Otelul Galati
Gonzalo Zárate,RB Salzburg,BSC Young Boys
Pavel Golyshev,Krasnodar,Tom Tomsk
Severin Bikoko,C. Rizespor,Akhisar Belediye
Gogita Gogua,Dinamo Tbilisi,FC Dila
Marko Suler,KAA Gent,Legia Warszawa
Ferrán Corominas,Girona,Elche CF
Mu Kanazaki,Nagoya Grampus,1.FC Nuremberg
Thomas Kaminski,OH Leuven,RSC Anderlecht
Grzegorz Wojtkowiak,Lech Poznan,1860 Munich
Iago Bouzón,Omonia Nikosia,Xerez CD
Juankar,SC Braga,Real Betis
Mohamed Messoudi,KV Kortrijk,KAA Gent
Mehdi Nafti,Real Valladolid,Real Murcia
Lautaro Acosta,Sevilla FC,Boca Juniors
Leonel Vangioni,Newell's,River Plate
Leandro González,CA Colon,Estudiantes LP
Junior Tallo,AS Roma,Bari
Mohammed Abu,Man City,Rayo Vallecano
Habib Habibou,Zulte Waregem,Leeds
Miguelito,Vitória Setúbal,Apol. Limassol
Tim Smolders,KAA Gent,Cercle Brugge
Oktay Delibalta,Genclerbirligi,Gaziantepspor
Julio Manzur,Guaraní,Olimpia
Juan Salgueiro,San Lorenzo,Olimpia
Chavdar Yankov,Metalurg D.,Slavia Sofia
Shinzo Koroki,Kashima Antlers,Urawa Reds
Damián Macaluso,Gimnasia,Peñarol
Felipe Seymour,Genoa,Chievo Verona
Gabriel Hauche,Racing Club,Chievo Verona
Rafa Lopes,Vitória Setúbal,Moreirense
Kiko Olivas,Villarreal CF B,Córdoba CF
Manoel,Anápolis,SC Braga
Jan Holenda,Anzhi,Rostov
Fredrik Björck,Tromsø,Häcken
Federico Casarini,Bologna,Cagliari Calcio
Yohan Tavares,Standard Liège,Estoril Praia
İlhan Parlak,Ankaraspor,Kardemir Karabük
Mauro Cetto,US Palermo,San Lorenzo
Julio Furch,Olimpo,San Lorenzo
Paulo César,SC Braga,Santa Cruz-PE
Takuya Nozawa,Vissel Kobe,Kashima Antlers
Neca,Vitória Setúbal,Konyaspor
Rovérsio,CA Osasuna,Orduspor
Mario Baric,KAA Gent,Slaven Belupo
Aritz López Garai,Córdoba CF,Sporting Gijón
David Rodríguez,Celta de Vigo,Sporting Gijón
Patric,Atlético-MG,Náutico
Isidoro,Real Betis,Pol. Warsaw
Daniel Bamberg,Örebro SK,Haugesund
Dudu Biton,Standard Liège,APOEL Nicosia
Mário Sérgio,Metalurg D.,APOEL Nicosia
Burhan Eşer,Eskisehirspor,Mersin IY
Fernando Meneses,Alianza Lima,U. Católica
Valdo,Atlante,Levante
Nicolás Olmedo,Godoy Cruz,Barcelona SC
Gonzalo Pineda,Chivas,Querétaro FC
Safet Nadarevic,Eskisehirspor,NK Zagreb
Seung-hyun Lee,Jeonbuk Hyundai,Sangju Sangmu
Kıvanç Karakaş,Sivasspor,Sanliurfaspor
Diogo Valente,Coimbra,CFR Cluj
Eric,Karpaty,Gaz Metan
Damián Manso,Al-Nassr,Dep. Cuenca
Júlio Alves,Besiktas,Sporting B
Aleksey Ivanov,Anzhi,Mordovia
Eric Hassli,Vancouver,Toronto
Mariano Uglessich,Cerro Porteño,O'Higgins
Eduardo Ledesma,Lanús,Godoy Cruz
Leandro Grimi,Sporting CP,Godoy Cruz
Iñaki Goitia,Real Betis,CD Mirandés
Juanma Ortiz,Rangers,Granada CF
Damián Manso,LDU Quito,Al-Nassr
Emmanuel Clottey,Berekum Chelsea,Esperance
Gastón Sauro,Boca Juniors,FC Basel
Migjen Basha,Atalanta BC,Torino
Lisandro Magallán,Gimnasia,Boca Juniors
Sean Scannell,Crystal Palace,Huddersfield
Gianluca Musacci,FC Empoli,Parma
Samuel Afum,Smouha,BSC Young Boys
Andrea Costa,Reggina,Sampdoria
Nicolas de Préville,FC Istres,Stade Reims
Luis Aguiar,Sporting CP,San Lorenzo
João Silva,Everton U21,Levski Sofia
Júnior Caiçara,Santo André,Ludogorets
Francesco Valiani,Parma,AC Siena
Genki Omae,Shimizu S-Pulse,F. Düsseldorf
Marcelinho,Sharjah FC,Al-Wahda
Antonino Ragusa,Reggina,Genoa
Kenneth Udjus,Sogndal,Lillestrøm
Serginho Greene,Levski Sofia,Vojvodina
Dorin Goga,Poli. Timisoara,Rapid Bucharest
Paulo Sérgio,Vit. Guimarães,AEL Limassol
Cristian Pasquato,Udinese Calcio,Bologna
Nicolao Cardoso,Napoli,Ternana
Antonino Ragusa,Pescara,Ternana
João Gonçalves,Sporting CP,Vit. Guimarães
Selim Benachour,Marítimo,APOEL Nicosia
Juliano Spadacio,Astra Giurgiu,Anorthosis
Faouzi Abdelghani,Al-Ittihad,Al-Khor SC
Chukwuma Akabueze,Brann,WH Zall
Youssef Mouihbi,Club Africain,Qadsia SC
Ivo Pinto,Rio Ave,CFR Cluj
Faouzi Abdelghani,Vit. Guimarães,Al-Ittihad
Fernando Varela,Feirense,FC Vaslui
Tabaré Viúdez,América,Kasimpasa
João Pedro,US Palermo,Desp. Brasil
Hamdi Salihi,D.C. United,JS Sainty
Sercan Kaya,Trabzonspor,C. Rizespor
Eren Albayrak,Trabzonspor,C. Rizespor
Riccardo Casini,Bologna U19,Parma
Igor Vetokele,Cercle Brugge,FC Copenhagen
Yannick N'Djeng,Esperance,FC Sion
Guillermo Rodríguez,Cesena,Torino
Kevin Mbabu,Servette FC,Newcastle
Matteo Contini,AC Siena,Atalanta BC
Riccardo Cazzola,Juve Stabia,Atalanta BC
Goran Causic,Rad,Eskisehirspor
Francesco Finocchio,Parma,Bologna
Enzo Réale,Olympique Lyon,FC Lorient
Brian Hämäläinen,Zulte Waregem,KRC Genk
Andrea Gessa,Pescara,Cesena
Dele Adeleye,SK Tavriya,Kuban Krasnodar
Joan Román,Man City U21,Barcelona B
Marko Markovski,Skoda Xanthi,FC Sheriff
Giuseppe Colucci,Cesena,Pescara
Maciej Makuszewski,Jagiellonia,Terek Grozny
Abderrazak Hamdallah,OC Safi,Aalesund
Borja García,Córdoba CF,RM Castilla
Derlis González,Rubio Ñú,Benfica B
Michele Cavion,Vicenza U19,Juventus U19
Jacob Barrett Laursen,Aalborg BK U19,Juventus U19
Léo Bonatini,Cruzeiro U20,Juventus U19
Xavier Chen,KV Mechelen,GZ Renhe
Paulinho,Metropolitano,Tochigi SC
David Templeton,Heart of Midl.,Rangers
Franco Brienza,US Palermo,Atalanta BC
Sol Bamba,Leicester,Trabzonspor
Mihai Pintilii,Pandurii,Steaua Bucharest
Mitchell Weiser,1.FC Köln U19,Bayern Munich
Rúrik Gíslason,Odense BK,FC Copenhagen
Grzegorz Krychowiak,G. Bordeaux,Stade Reims
Loris Néry,Saint-Étienne,Valenciennes FC
Stefan Nikolic,Poli. Timisoara,Steaua Bucharest
Cristian Chávez,Boca Juniors,Lanús
Lee Peltier,Leicester,Leeds
Joel Ward,Portsmouth,Crystal Palace
Danny Collins,Stoke City,Nottm Forest
Fraser Fyvie,Aberdeen FC,Wigan
Kevin Vogt,VfL Bochum,FC Augsburg
Nicolas Fauvergue,CS Sedan,Stade Reims
Agus García,Alcorcón,Orduspor
Lukas Vacha,Slovan Liberec,Sparta Prague
Konstantinos Makridis,Omonia Nikosia,Metalurg D.
José Ortigoza,Sol de América,SD Luneng
Dare Vrsic,NK Olimpija,Austria Vienna
Aristide Bancé,Al-Ahli (UAE),FC Augsburg
Tobias Mikkelsen,Greuther Fürth,Rosenborg
Gabriel Iancu,FC Viitorul,Steaua Bucharest
Paddy Kenny,QPR,Leeds
Samuel Llorca,Hércules CF,Celta de Vigo
Heurelho Gomes,Tottenham,TSG Hoffenheim
Esmaël Gonçalves,OGC Nice,Rio Ave
Nicolás Castro,Atl. Rafaela,Godoy Cruz
Jorge Henrique,Corinthians,Internacional
Oliver Kirch,1.FC K'lautern,Bor. Dortmund
Dakson,Loko Plovdiv,Vasco da Gama
Arkadiusz Piech,Ruch Chorzow,Sivasspor
Kensuke Nagai,Nagoya Grampus,Standard Liège
Benjamin Köhler,E. Frankfurt,1.FC K'lautern
Ferhat Kiraz,Boluspor,Bursaspor
Edú,FC Schalke 04,Greuther Fürth
Zdenek Ondrasek,C. Budejovice,Tromsø
Carlos Aranda,Real Zaragoza,Granada CF
Préjuce Nakoulma,Gornik Leczna,Górnik Zabrze
Markus Karl,Union Berlin,1.FC K'lautern
Peer Kluge,FC Schalke 04,Hertha BSC
Moritz Stoppelkamp,Hannover 96,1860 Munich
Greg Halford,Portsmouth,Nottm Forest
Gonzalo García,AEK Larnaca,M. Tel Aviv
Stefan Reisinger,SC Freiburg,F. Düsseldorf
Tobias Levels,Bor. M'gladbach,F. Düsseldorf
Raphael Wolf,SV Kapfenberg,Werder Bremen
Tomoaki Makino,1.FC Köln,Urawa Reds
Roger Bernardo,Energie Cottbus,FC Ingolstadt
Lamjed Chehoudi,ES Sahel,Esperance
Rene Mihelic,Nacional,Levski Sofia
Lasse Sobiech,Bor. Dortmund,Greuther Fürth
Cornel Râpă,Otelul Galati,Steaua Bucharest
Peçanha,Marítimo,Rapid Bucharest
Lorenzo Ebecilio,Ajax,Metalurg D.
Mitchell Weiser,Bayern Munich,1.FC K'lautern
Thomas Bröker,F. Düsseldorf,1.FC Köln
Bruno Soares,MSV Duisburg,F. Düsseldorf
Julien Faubert,Elazigspor,G. Bordeaux
Huanderson,Rio Ave,Iraklis
Hakan Çalhanoğlu,Hamburger SV,Karlsruher SC
Petar Grbic,Olympiacos,OFK Beograd
Paul Pogba,Juventus,Man Utd
Gonzalo Higuaín,Napoli,Juventus
Oscar,Chelsea,SH SIPG
Hulk,Zenit S-Pb,SH SIPG
John Stones,Everton,Man City
Leroy Sané,FC Schalke 04,Man City
Granit Xhaka,Bor. M'gladbach,Arsenal
João Mário,Sporting CP,Inter
Henrikh Mkhitaryan,Bor. Dortmund,Man Utd
Sadio Mané,Southampton,Liverpool
Shkodran Mustafi,Valencia,Arsenal
Michy Batshuayi,Marseille,Chelsea
Eric Bailly,Villarreal,Man Utd
Mats Hummels,Bor. Dortmund,Bayern Munich
André Gomes,Valencia,Barcelona
Julian Draxler,VfL Wolfsburg,Paris SG
N'Golo Kanté,Leicester,Chelsea
Ousmane Dembélé,Stade Rennais,Bor. Dortmund
Renato Sanches,Benfica,Bayern Munich
Moussa Sissoko,Newcastle,Tottenham
David Luiz,Paris SG,Chelsea
Miralem Pjanic,AS Roma,Juventus
Mario Götze,Bayern Munich,Bor. Dortmund
Kévin Gameiro,Sevilla FC,Atlético Madrid
Gabriel Jesus,Palmeiras,Man City
Arkadiusz Milik,Ajax,Napoli
Christian Benteke,Liverpool,Crystal Palace
Islam Slimani,Sporting CP,Leicester
André Schürrle,VfL Wolfsburg,Bor. Dortmund
Paco Alcácer,Valencia,Barcelona
Álvaro Morata,Juventus,Real Madrid
Gonçalo Guedes,Benfica,Paris SG
Dimitri Payet,West Ham,Marseille
Grzegorz Krychowiak,Sevilla FC,Paris SG
İlkay Gündoğan,Bor. Dortmund,Man City
Nico Gaitán,Benfica,Atlético Madrid
Naby Keïta,RB Salzburg,RB Leipzig
Gabriel Barbosa,Santos,Inter
Marko Pjaca,Dinamo Zagreb,Juventus
Yannick Bolasie,Crystal Palace,Everton
Morgan Schneiderlin,Man Utd,Everton
Georginio Wijnaldum,Newcastle,Liverpool
Breel Embolo,FC Basel,FC Schalke 04
Samuel Umtiti,Olympique Lyon,Barcelona
Jesé,Real Madrid,Paris SG
Memphis Depay,Man Utd,Olympique Lyon
André Ayew,Swansea,West Ham
Ezequiel Garay,Zenit S-Pb,Valencia
Odion Ighalo,Watford,CC Yatai
Marcos Alonso,Fiorentina,Chelsea
Timo Werner,VfB Stuttgart,RB Leipzig
Antonio Candreva,Lazio,Inter
Mohamed Salah,Chelsea,AS Roma
Jack Wilshere,Arsenal,Bournemouth
Vincent Janssen,AZ Alkmaar,Tottenham
Wilfried Bony,Man City,Stoke City
Aleksandar Dragovic,Dynamo Kyiv,B. Leverkusen
Chengdong Zhang,BJ Guoan,HB CFFC
Lucas Pérez,Dep. La Coruña,Arsenal
Kevin Volland,TSG Hoffenheim,B. Leverkusen
Didier Ndong,FC Lorient,Sunderland
Axel Witsel,Zenit S-Pb,TJ Quanjian
Ahmed Musa,CSKA Moscow,Leicester
Mattia Caldara,Atalanta BC,Juventus
Sofiane Boufal,LOSC Lille,Southampton
Gerson,Fluminense,AS Roma
Dayot Upamecano,RB Salzburg,RB Leipzig
Joaquín Correa,Sampdoria,Sevilla FC
Nolito,Celta de Vigo,Man City
Claudio Bravo,Barcelona,Man City
Jordon Ibe,Liverpool,Bournemouth
Borja Bastón,Atlético Madrid,Swansea
Leonardo Pavoletti,Genoa,Napoli
Alexandre Pato,Villarreal,TJ Quanjian
Joel Matip,FC Schalke 04,Liverpool
Yuhao Zhao,HZ Greentown,HB CFFC
Wilfred Ndidi,KRC Genk,Leicester
David Neres,São Paulo,Ajax
Manolo Gabbiadini,Napoli,Southampton
Stephan El Shaarawy,AC Milan,AS Roma
Joe Hart,Man City,Torino
Franco Vázquez,US Palermo,Sevilla FC
Leon Bailey,KRC Genk,B. Leverkusen
Lucas Digne,Paris SG,Barcelona
Rafa,SC Braga,Benfica
Piotr Zieliński,Udinese Calcio,Napoli
Roberto Pereyra,Juventus,Watford
Miranda,Atlético Madrid,Inter
Nani,Fenerbahce,Valencia
Andros Townsend,Newcastle,Crystal Palace
Joe Allen,Liverpool,Stoke City
Nampalys Mendy,OGC Nice,Leicester
Ryan Mason,Tottenham,Hull City
Graziano Pellè,Southampton,SD Luneng
Nacer Chadli,Tottenham,West Brom
Oliver Burke,Nottm Forest,RB Leipzig
Luka Milivojevic,Olympiacos,Crystal Palace
Robbie Brady,Norwich,Burnley
Djibril Sidibé,LOSC Lille,Monaco
Pierre-Emile Højbjerg,Bayern Munich,Southampton
Hélder Costa,Benfica,Wolves
Isaac Success,Granada CF,Watford
Jonathan Soriano,RB Salzburg,BJ Guoan
Victor Wanyama,Southampton,Tottenham
Saido Berahino,West Brom,Stoke City
Riechedly Bazoer,Ajax,VfL Wolfsburg
Edin Dzeko,Man City,AS Roma
Simone Zaza,Juventus,West Ham
Gökhan Töre,Besiktas,West Ham
M'Baye Niang,AC Milan,Watford
Éver Banega,Sevilla FC,Inter
Samir Nasri,Man City,Sevilla FC
Sofiane Feghouli,Valencia,West Ham
Zlatan Ibrahimović,Paris SG,Man Utd
Rodolfo Pizarro,Pachuca,Chivas
Amadou Diawara,Bologna,Napoli
Ross McCormack,Fulham,Aston Villa
Sime Vrsaljko,Sassuolo,Atlético Madrid
Ashley Williams,Swansea,Everton
Filip Kostić,VfB Stuttgart,Hamburger SV
Roberto Soriano,Sampdoria,Villarreal
Luciano Vietto,Atlético Madrid,Sevilla FC
Lazar Markovic,Liverpool,Sporting CP
Lazar Markovic,Liverpool,Hull City
Jeffrey Schlupp,Leicester,Crystal Palace
Stevan Jovetic,Man City,Inter
Nathan Redmond,Norwich,Southampton
Yannick Gerhardt,1.FC Köln,VfL Wolfsburg
Jasper Cillessen,Ajax,Barcelona
Benjamin Mendy,Marseille,Monaco
Nicola Sansone,Sassuolo,Villarreal
Moussa Sow,Al-Ahli (UAE),Fenerbahce
Jonathan Kodjia,Bristol City,Aston Villa
Jannik Vestergaard,Werder Bremen,Bor. M'gladbach
Yunus Mallı,1.FSV Mainz 05,VfL Wolfsburg
Fernando,Sampdoria,Spartak Moscow
Jesé,Paris SG,UD Las Palmas
Yongpo Wang,SD Luneng,TJ Quanjian
Sebastian Rode,Bayern Munich,Bor. Dortmund
Raphaël Guerreiro,FC Lorient,Bor. Dortmund
Morgan Sanson,Montpellier,Marseille
Robert Snodgrass,Hull City,West Ham
Manuel Lanzini,Al-Jazira,West Ham
Dwight Gayle,Crystal Palace,Newcastle
Matt Ritchie,Bournemouth,Newcastle
Miguel Borja,Atl. Nacional,Palmeiras
Brown Ideye,Olympiacos,TJ Teda
Éder,Sampdoria,Inter
Diego Perotti,Genoa,AS Roma
Antonio Rüdiger,VfB Stuttgart,AS Roma
Adem Ljajic,AS Roma,Torino
Everton Ribeiro,Al-Ahli (UAE),Flamengo
Denis Suárez,Villarreal,Barcelona
Seydou Doumbia,AS Roma,FC Basel
Riccardo Saponara,FC Empoli,Fiorentina
Mario Gómez,Fiorentina,VfL Wolfsburg
Calum Chambers,Arsenal,Middlesbrough
Oumar Niasse,Everton,Hull City
Bas Dost,VfL Wolfsburg,Sporting CP
Jeff Hendrick,Derby,Burnley
James Tomkins,West Ham,Crystal Palace
Jeffrey Bruma,PSV Eindhoven,VfL Wolfsburg
Jake Livermore,Hull City,West Brom
Anthony Ujah,Werder Bremen,Liaoning FC
Min Cui,YB Funde,SZ FC
Georges-Kevin N'Koudou,Marseille,Tottenham
Kamil Glik,Torino,Monaco
Andrej Kramaric,Leicester,TSG Hoffenheim
Hakim Ziyech,Twente FC,Ajax
Alexandre Pato,Corinthians,Villarreal
Jeremain Lens,Sunderland,Fenerbahce
John Obi Mikel,Chelsea,TJ Teda
Mingjian Zhao,SD Luneng,HB CFFC
Hang Ren,JS Suning,HB CFFC
Cristian Ansaldi,Genoa,Inter
Martin Hinteregger,RB Salzburg,FC Augsburg
Scott Hogan,Brentford,Aston Villa
Marten de Roon,Atalanta BC,Middlesbrough
Patrick van Aanholt,Sunderland,Crystal Palace
Carlos Tevez,Boca Juniors,SH Shenhua
Kyung-won Kwon,Al-Ahli (UAE),TJ Quanjian
Wenzhao Zhang,SD Luneng,GZ Evergrande
Josip Brekalo,Dinamo Zagreb,VfL Wolfsburg
Rodrigo de Paul,Valencia,Udinese Calcio
Giovani Lo Celso,Rosario Central,Paris SG
Maxime Lestienne,Al-Arabi SC,Rubin Kazan
Rubén Rochina,Granada CF,Rubin Kazan
Lorenzo Tonelli,FC Empoli,Napoli
Ganso,São Paulo,Sevilla FC
Ciro Immobile,Sevilla FC,Lazio
Alen Halilovic,Barcelona,Hamburger SV
Paul-Georges Ntep,Stade Rennais,VfL Wolfsburg
Jonathan Calleri,Maldonado,West Ham
Cristian Tello,Barcelona,Fiorentina
Enner Valencia,West Ham,Everton
Bojan Krkic,Stoke City,1.FSV Mainz 05
André Carrillo,Sporting CP,Benfica
Stevan Jovetic,Inter,Sevilla FC
Hatem Ben Arfa,OGC Nice,Paris SG
Ross McCormack,Aston Villa,Nottm Forest
Steve Mandanda,Marseille,Crystal Palace
Branislav Ivanovic,Chelsea,Zenit S-Pb
Nicolas N'Koulou,Marseille,Olympique Lyon
Mario Lemina,Marseille,Juventus
Emre Mor,Nordsjaelland,Bor. Dortmund
Nicolae Stanciu,Steaua Bucharest,RSC Anderlecht
Chenglin Zhang,BJ Renhe,GZ Evergrande
Gustavo Gómez,Lanús,AC Milan
Gianluca Lapadula,Pescara,AC Milan
Papy Djilobodji,Chelsea,Sunderland
Wissam Ben Yedder,Toulouse,Sevilla FC
Konstantinos Mitroglou,Fulham,Benfica
Jérémy Ménez,AC Milan,G. Bordeaux
Matej Vydra,Watford,Derby
Alex Pritchard,Tottenham,Norwich
James Chester,West Brom,Aston Villa
Walace,Grêmio,Hamburger SV
José Fonte,Southampton,West Ham
Nicolás López,Udinese Calcio,Internacional
Hongbo Yin,HN Jianye,HB CFFC
Sven Kums,KAA Gent,Watford
Kamil Grosicki,Stade Rennais,Hull City
Idrissa Gueye,Aston Villa,Everton
Tomás Rincón,Genoa,Juventus
Dennis Praet,RSC Anderlecht,Sampdoria
Loïc Rémy,Chelsea,Crystal Palace
Marco Sportiello,Atalanta BC,Fiorentina
Caner Erkin,Fenerbahce,Inter
Dani Alves,Barcelona,Juventus
Daryl Janmaat,Newcastle,Watford
Roger Martínez,Racing Club,JS Suning
Ademola Lookman,Charlton,Everton
Alexander Isak,AIK,Bor. Dortmund
Steven Defour,RSC Anderlecht,Burnley
Jorge,Flamengo,Monaco
Emanuel Mammana,River Plate,Olympique Lyon
Borek Dockal,Sparta Prague,HN Jianye
Alex Telles,Galatasaray,FC Porto
Iago Falque,AS Roma,Torino
Leroy Fer,QPR,Swansea
Mario Suárez,Watford,Valencia
Óscar Romero,Racing Club,SH Shenhua
Taiyan Jin,Liaoning FC,BJ Guoan
Yang Yu,GZ R&F,BJ Guoan
Gianluca Caprari,Pescara,Inter
Adama Traoré,Aston Villa,Middlesbrough
Felipe,Corinthians,FC Porto
Yanic Wildschut,Wigan,Norwich
Shilin Sun,Liaoning FC,SH Shenhua
Matteo Politano,AS Roma,Sassuolo
Alisson,Internacional,AS Roma
Marc Bartra,Barcelona,Bor. Dortmund
Benjamin Stambouli,Paris SG,FC Schalke 04
Rémy Cabella,Newcastle,Marseille
Wallace,SC Braga,Lazio
Ivan Cavaleiro,Monaco,Wolves
Hernani,Atlético-PR,Zenit S-Pb
Alfred N'Diaye,Real Betis,Villarreal
Andy Delort,SM Caen,Tigres UANL
Hernanes,Juventus,HB CFFC
José Sosa,Besiktas,AC Milan
Max Kruse,VfL Wolfsburg,Werder Bremen
Gerónimo Rulli,Man City,Real Sociedad
Martin Skrtel,Liverpool,Fenerbahce
Maicon,FC Porto,São Paulo
Giovanni Simeone,River Plate,Genoa
Gerónimo Rulli,Maldonado,Man City
Ron-Robert Zieler,Hannover 96,Leicester
Víctor Ibarbo,Cagliari Calcio,Panathinaikos
Neven Subotic,Bor. Dortmund,1.FC Köln
Bafétimbi Gomis,Swansea,Marseille
Joel Campbell,Arsenal,Sporting CP
Salvatore Sirigu,Paris SG,Sevilla FC
Juan Iturbe,AS Roma,Torino
Tim Krul,Newcastle,Ajax
Jordan Veretout,Aston Villa,Saint-Étienne
Mattia Caldara,Juventus,Atalanta BC
Kenedy,Chelsea,Watford
Çağlar Söyüncü,Altinordu,SC Freiburg
Ismael Sosa,UNAM Pumas,Tigres UANL
Timothée Kolodziejczak,Sevilla FC,Bor. M'gladbach
Antonio Sanabria,AS Roma,Real Betis
Miguel Almirón,Lanús,Atlanta
Papiss Cissé,Newcastle,SD Luneng
Jordan Ayew,Aston Villa,Swansea
Talisca,Benfica,Besiktas
Davide Astori,Cagliari Calcio,Fiorentina
Philipp Wollscheid,Stoke City,VfL Wolfsburg
Gerard Deulofeu,Everton,AC Milan
Gregory van der Wiel,Paris SG,Fenerbahce
Sven Kums,Watford,Udinese Calcio
Younès Belhanda,Dynamo Kyiv,OGC Nice
Álvaro Negredo,Valencia,Middlesbrough
Giuseppe Rossi,Fiorentina,Celta de Vigo
Giovani Lo Celso,Paris SG,Rosario Central
Youssef El Arabi,Granada CF,Lekhwiya SC
Malick Evouna,El Ahly,TJ Teda
Eran Zahavi,M. Tel Aviv,GZ R&F
Cristian Espinoza,Huracán,Villarreal
Arthur Masuaku,Olympiacos,West Ham
Rudy Gestede,Aston Villa,Middlesbrough
Diogo Jota,Paços Ferreira,Atlético Madrid
Léo Baptistão,Atlético Madrid,Espanyol
Laurent Depoitre,KAA Gent,FC Porto
Giuliano,Grêmio,Zenit S-Pb
Lewis Cook,Leeds,Bournemouth
Anwar El Ghazi,Ajax,LOSC Lille
Harold Preciado,Deportivo Cali,SZ FC
Jonathas,Real Sociedad,Rubin Kazan
Odil Akhmedov,Krasnodar,SH SIPG
Loris Karius,1.FSV Mainz 05,Liverpool
Miguel Layún,Watford,FC Porto
Jakub Blaszczykowski,Bor. Dortmund,VfL Wolfsburg
Munas Dabbur,Grasshoppers,RB Salzburg
Juanmi,Southampton,Real Sociedad
Elias,Corinthians,Sporting CP
José Manuel Jurado,Watford,Espanyol
Leandro Castán,AS Roma,Sampdoria
Fernando Torres,AC Milan,Atlético Madrid
Roman Neustädter,FC Schalke 04,Fenerbahce
Daniel Didavi,VfB Stuttgart,VfL Wolfsburg
Danilo Cataldi,Lazio,Genoa
Adnan Januzaj,Man Utd,Sunderland
Danilo Barbosa,SC Braga,Benfica
Salvatore Sirigu,Paris SG,CA Osasuna
Marco van Ginkel,Chelsea,PSV Eindhoven
Siem de Jong,Newcastle,PSV Eindhoven
Diogo Jota,Atlético Madrid,FC Porto
Óscar Romero,SH Shenhua,Alavés
Cristian Espinoza,Villarreal,Alavés
Dieumerci Mbokani,Dynamo Kyiv,Hull City
Danilo Barbosa,SC Braga,Standard Liège
Charles Kaboré,Kuban Krasnodar,Krasnodar
Christian Kabasele,KRC Genk,Watford
Haiqing Cao,HZ Greentown,JS Suning
Hernán Toledo,Vélez Sarsfield,Maldonado
Alberto Paloschi,Swansea,Atalanta BC
Matz Sels,KAA Gent,Newcastle
Grant Hanley,Blackburn,Newcastle
Silvio Romero,Chiapas FC,América
Jhon Córdoba,Granada CF,1.FSV Mainz 05
Douglas Santos,Atlético-MG,Hamburger SV
Hiroshi Kiyotake,Hannover 96,Sevilla FC
Willy Boly,SC Braga,FC Porto
Matt Phillips,QPR,West Brom
Lys Mousset,Le Havre AC,Bournemouth
Alan Pulido,Olympiacos,Chivas
Stefano Okaka,RSC Anderlecht,Watford
Nemanja Gudelj,Ajax,TJ Teda
David López,Napoli,Espanyol
Daniel Caligiuri,VfL Wolfsburg,FC Schalke 04
Kyriakos Papadopoulos,B. Leverkusen,RB Leipzig
Lucas Ocampos,Marseille,Genoa
Andrija Zivkovic,Partizan,Benfica
Tim Krul,Newcastle,AZ Alkmaar
Edimilson Fernandes,FC Sion,West Ham
Simone Verdi,AC Milan,Bologna
Lucas Pratto,Atlético-MG,São Paulo
