Player,Left Team,Joined Team
Jan van Daal,Willem II,HVC
Epi Drost,Heracles,FC Twente
Stuart Mason,Wrexham,Liverpool
Hennie van Nee,GVAV,K. Offenbach
Tommy Robson,Chelsea,Newcastle
Colin Dobson,Sheff Wed,Huddersfield
Theo Hoogeveen,Gooiland,DOS
Willie Anderson,Man Utd,Aston Villa
Frank Munro,Dundee United,Aberdeen FC
John O'Rourke,Luton,Middlesbrough
Bobby Brown,Northampton,Cardiff
Hennie Ardesch,FC Twente,ADO
Rodney Marsh,Fulham,QPR
Barry Hartle,Sheff Utd,Carlisle United
Tony Green,Albion Rovers,Blackpool
Karel Vesters,Ajax,NAC
Sjaak Roggeveen,DHC,Holland Sport
Gerard van de Kerkhof,Sparta,FC Den Bosch
Willy Heijink,Eindhoven,PSV Eindhoven
Tony Coleman,Doncaster,Man City
Harry Hood,Sunderland,Clyde FC
Ad Vermolen,Baronie,Sparta
Hannie Aardse,ADO,Holland Sport
Willie Penman,Newcastle,Swindon Town
Alan Baker,Aston Villa,Walsall
Billy McCullough,Arsenal,Millwall
Harrie Paauw,Zwolsche Boys,Vitesse
Dave Elliott,Sunderland,Newcastle
Kit Napier,Newcastle,Brighton
Henny den Engelse,DHC,Holland Sport
George Andrews,Cardiff,Southport
Pat Dunne,Man Utd,Plymouth
José Luis Ponce,Constancia,Elche CF
Bertus Hoogerman,Ajax,HVC
Goñi,Santander,RCD Coruña
Gerrie de Goede,Blauw-Wit,RCH
Wim van den Dungen,Budel,PSV Eindhoven
Cees Kick,SC 't Gooi,PEC
Hennie Schipper,FC Zaanstreek,Blauw-Wit
Jan van Beveren,Emmen,Sparta U19
Jaap Advocaat,Zwolsche Boys,Holland Sport
Mar Schippers,Feyenoord U19,Fortuna Vl.
Hans Brink,Eindhoven,Helmondia '55
Arie Bransen,DOS,Velox
Niek Gahrmann,RKAVV,DHC '66
Aad van Deelen,VUC,DHC '66
Ian Lawson,Crystal Palace,Port Vale
Wyn Davies,Bolton,Newcastle
Barry Bridges,Chelsea,Birmingham
Henny Weering,Feijenoord,SC Cambuur
Johnny Byrne,West Ham,Crystal Palace
Aad Smit,Haarlem,DWS
Stevan Balov,Radnicki Nis,Blauw-Wit
José Maria Vidal,Valladolid,Sparta
Todor Grebenarević,Partizan,Blauw-Wit
Gerard Hoenen,PSV Eindhoven,MVV
Arie Don,Fortuna Vl.,NAC
Willem van Hanegem,Velox,Xerxes
Martin van Vianen,ADO,Holland Sport
Dave Wilson,Preston,Liverpool
Graham Leggat,Fulham,Birmingham
Eise Bosma,Heerenveen,SC Cambuur
Peet Petersen,NAC,De Volewijckers
Rafael Alarcia,Real Oviedo,Real Zaragoza
Jimmy Conway,Bohemians,Fulham
Bennie Slaats,FC VVV,MVV
Andries Koopman,SC Cambuur,Heerenveen
Oeki Hoekema,SC Cambuur,Go Ahead
Henk Hartkamp,Heerenveen,SC Cambuur
Cees Loffeld,DOS,Wageningen
Bennie Marcus,Wageningen,HVC
Willie McFaul,Linfield,Newcastle
Guus de Graaf,MVV,FC Den Bosch
Theo Verlangen,ADO,Holland Sport
José Eulogio Gárate,Indauchu,Atlético Madrid
Hein van Gastel,NOAD,DFC
Vic Gomersall,Man City,Swansea Town
Toon den Boer,Ajax,Haarlem
Derek Draper,Swansea Town,Derby
John Archer,Bournemouth,Crewe Alexandra
Wim Klein,Xerxes,Hermes-DVS
Barry Hutchinson,Darlington,Halifax Town
Peter Neale,Scunthorpe Utd.,Chesterfield FC
Ian Seymour,Tonbridge,Fulham
Fons Bastiaansen,Baronie,NAC
Rob Boersma,VUC,PSV Eindhoven
Leo Raats,Fortuna '54,FC VVV
Sef Horsels,Fortuna '54,FC VVV
Jo Pepels,Fortuna '54,FC VVV
Nico Jonker,Haarlem,Telstar
Jan Louwers,Roda JC,Eindhoven
Theo Kleindijk,SVV,Holland Sport
Koos van Dullemen,ADO,Holland Sport
Hans Gerritse,Ajax U18,HVC
Wim Freriks,Feyenoord U21,Fortuna Vl.
Wim Jansen,FC Den Bosch,Helmondia '55
Ronald Krant,Hilversum,Gooiland
Co van de Hoogen,DOS,Gooiland
Pierre van Dalsen,FC Den Bosch,Wilhelmina
Leo de Vroet,Heerenveen,DOS
Alan Ball,Everton,Arsenal
Malcolm Macdonald,Luton,Newcastle
John Connolly,St. Johnstone,Everton
Ralph Coates,Burnley,Tottenham
Jan Ruiter,Volendam,RSC Anderlecht
Lex Schoenmaker,FC Den Haag/ADO,Feijenoord
Steve Kember,Crystal Palace,Chelsea
Georg Volkert,FC Zürich,Hamburger SV
Tony Green,Blackpool,Newcastle
Vítor Baptista,Vitória Setúbal,Benfica
Erwin Hermandung,Alem. Aachen,Hertha BSC
Martin Buchan,Aberdeen FC,Man Utd
Keith Weller,Chelsea,Leicester
Rob Rensenbrink,Club Brugge,RSC Anderlecht
Quino Sierra,Real Betis,Valencia
Chris Garland,Bristol City,Chelsea
Karl Kodat,Austria Salzb.,Royal Antwerp
Alan Birchenall,Crystal Palace,Leicester
Hans Ettmayer,Wattens-Wacker,VfB Stuttgart
Herbert Laumen,Bor. M'gladbach,Werder Bremen
Bob Hatton,Carlisle United,Birmingham
Arnold Mühren,Volendam,Ajax
Bobby Gould,Wolves,West Brom
Ian Ross,Liverpool,Aston Villa
Guus Hiddink,PSV Eindhoven,De Graafschap
Alistair Brown,Leicester,West Brom
Quique Costas,Celta de Vigo,Barcelona
Rod Belfitt,Leeds,Ipswich
Gerhard Welz,1.FC Nuremberg,1.FC Köln
Erwin Kremers,K. Offenbach,FC Schalke 04
Helmut Kremers,K. Offenbach,FC Schalke 04
Theo van Toledo,Excelsior,Vitesse
Bobby Kellard,Leicester,Crystal Palace
Stuart Boam,Mansfield Town,Middlesbrough
Gerald Fuchsbichler,Rapid Vienna,Wiener SC
Juan Verdugo,Córdoba CF,Real Madrid
Walter Ferreira,Red Star FC,Volendam
Dick Beek,Go Ahead Eagles,FC Den Bosch
Derek Smethurst,Chelsea,Millwall
Leo van Straaten,FC Den Bosch,Volendam
Kevin Keegan,Scunthorpe Utd.,Liverpool
Cees van Kooten,Hermes-DVS,LOSC Lille
Terry Hibbitt,Leeds,Newcastle
Paul Gilchrist,Doncaster,Southampton
Herbert Prohaska,Ostbahn XI,Austria Vienna
Jimmy Bone,Partick Thistle,Norwich
Roger Cross,Brentford,Fulham
Peter Mellor,Burnley,Fulham
Billy Wilson,Blackburn,Portsmouth
Frank Lane,Tranmere Rovers,Liverpool
Nobby Stiles,Man Utd,Middlesbrough
Alex Edwards,Dunfermline A.,Hibernian FC
Jimmy Lindsay,West Ham,Watford
Willie Wallace,Celtic,Crystal Palace
Ramón Echenausi,Lanús,Portuguesa FC
Steve Carter,Man City,Notts County
Rudi Kargus,Wormatia Worms,Hamburger SV
John Hughes,Celtic,Crystal Palace
Dick van Nierop,Hermes-DVS,Excelsior
Martin O'Neill,Lisburn FC,Nottm Forest
Hughie Reed,West Brom,Plymouth
George Wood,East Stirling,Blackpool
Lew Chatterley,Northampton,Grimsby Town
Lew Chatterley,Aston Villa,Northampton
Co Prins,MVV,Vitesse
Piet van Dijk,NOAD,NAC
Ken Jones,Southampton,Cardiff
Bertie Lutton,Wolves,Brighton
John Mitchell,St Albans City,Fulham
Bobby Svarc,Lincoln City,Boston Utd
Takis Papettas,ASIL Lysi,Olympiakos N.
Dick Helling,ZFC,Telstar
Piet van den Berg,RCH,Haarlem
Sije Visser,Hermes-DVS,NEC
Ico Aguilar,Santander,Real Madrid
Wyn Davies,Newcastle,Man City
John Craggs,Newcastle,Middlesbrough
Neil Young,Man City,Preston
Pepe Macanás,Real Murcia,Real Madrid
Ramón Aguirre Suárez,Estudiantes LP,Granada CF
